# Wavelength,Intensity
2.505140533447265625e+02,1.388252563476562500e+03
2.509798431396484375e+02,1.389244262695312500e+03
2.514456176757812500e+02,1.393211914062500000e+03
2.519113616943359375e+02,1.389244262695312500e+03
2.523770904541015625e+02,1.393211914062500000e+03
2.528428039550781250e+02,1.391228149414062500e+03
2.533084716796875000e+02,1.396187744140625000e+03
2.537741394042968750e+02,1.396187744140625000e+03
2.542397766113281250e+02,1.391228149414062500e+03
2.547053833007812500e+02,1.386268798828125000e+03
2.551709899902343750e+02,1.388252563476562500e+03
2.556365509033203125e+02,1.392219970703125000e+03
2.561021118164062500e+02,1.394203735351562500e+03
2.565676269531250000e+02,1.391228149414062500e+03
2.570331420898437500e+02,1.389244262695312500e+03
2.574985961914062500e+02,1.390236206054687500e+03
2.579640502929687500e+02,1.386268798828125000e+03
2.584295043945312500e+02,1.398171752929687500e+03
2.588948974609375000e+02,1.388252563476562500e+03
2.593602905273437500e+02,1.393211914062500000e+03
2.598256835937500000e+02,1.390236206054687500e+03
2.602910156250000000e+02,1.392219970703125000e+03
2.607563476562500000e+02,1.390236206054687500e+03
2.612216186523437500e+02,1.392219970703125000e+03
2.616869201660156250e+02,1.395195800781250000e+03
2.621521606445312500e+02,1.388252563476562500e+03
2.626174011230468750e+02,1.394203735351562500e+03
2.630826110839843750e+02,1.389244262695312500e+03
2.635477905273437500e+02,1.388252563476562500e+03
2.640129394531250000e+02,1.384285278320312500e+03
2.644780883789062500e+02,1.391228149414062500e+03
2.649432067871093750e+02,1.393211914062500000e+03
2.654083251953125000e+02,1.386268798828125000e+03
2.658733825683593750e+02,1.392219970703125000e+03
2.663384399414062500e+02,1.390236206054687500e+03
2.668034667968750000e+02,1.391228149414062500e+03
2.672684936523437500e+02,1.391228149414062500e+03
2.677334594726562500e+02,1.393211914062500000e+03
2.681984252929687500e+02,1.382301757812500000e+03
2.686633605957031250e+02,1.393211914062500000e+03
2.691282653808593750e+02,1.390236206054687500e+03
2.695931701660156250e+02,1.392219970703125000e+03
2.700580444335937500e+02,1.395195800781250000e+03
2.705228881835937500e+02,1.393211914062500000e+03
2.709877319335937500e+02,1.398171752929687500e+03
2.714525146484375000e+02,1.395195800781250000e+03
2.719172973632812500e+02,1.384285278320312500e+03
2.723820495605468750e+02,1.387260620117187500e+03
2.728468017578125000e+02,1.390236206054687500e+03
2.733115234375000000e+02,1.398171752929687500e+03
2.737761840820312500e+02,1.393211914062500000e+03
2.742408447265625000e+02,1.391228149414062500e+03
2.747055053710937500e+02,1.392219970703125000e+03
2.751701354980468750e+02,1.397179809570312500e+03
2.756347351074218750e+02,1.388252563476562500e+03
2.760993041992187500e+02,1.391228149414062500e+03
2.765638427734375000e+02,1.385276977539062500e+03
2.770283813476562500e+02,1.392219970703125000e+03
2.774929199218750000e+02,1.388252563476562500e+03
2.779573974609375000e+02,1.397179809570312500e+03
2.784218444824218750e+02,1.396187744140625000e+03
2.788862915039062500e+02,1.390236206054687500e+03
2.793507080078125000e+02,1.396187744140625000e+03
2.798150939941406250e+02,1.393211914062500000e+03
2.802794799804687500e+02,1.394203735351562500e+03
2.807438354492187500e+02,1.389244262695312500e+03
2.812081604003906250e+02,1.394203735351562500e+03
2.816724548339843750e+02,1.391228149414062500e+03
2.821367492675781250e+02,1.382301757812500000e+03
2.826010131835937500e+02,1.389244262695312500e+03
2.830652465820312500e+02,1.390236206054687500e+03
2.835294494628906250e+02,1.397179809570312500e+03
2.839936523437500000e+02,1.397179809570312500e+03
2.844578247070312500e+02,1.398171752929687500e+03
2.849219665527343750e+02,1.386268798828125000e+03
2.853860778808593750e+02,1.392219970703125000e+03
2.858501892089843750e+02,1.395195800781250000e+03
2.863142700195312500e+02,1.387260620117187500e+03
2.867783203125000000e+02,1.395195800781250000e+03
2.872423400878906250e+02,1.388252563476562500e+03
2.877063598632812500e+02,1.396187744140625000e+03
2.881703491210937500e+02,1.384285278320312500e+03
2.886343078613281250e+02,1.399163818359375000e+03
2.890982360839843750e+02,1.386268798828125000e+03
2.895621643066406250e+02,1.395195800781250000e+03
2.900260620117187500e+02,1.396187744140625000e+03
2.904899291992187500e+02,1.393211914062500000e+03
2.909537963867187500e+02,1.387260620117187500e+03
2.914176025390625000e+02,1.386268798828125000e+03
2.918814086914062500e+02,1.390236206054687500e+03
2.923452148437500000e+02,1.389244262695312500e+03
2.928089599609375000e+02,1.391228149414062500e+03
2.932727050781250000e+02,1.392219970703125000e+03
2.937363891601562500e+02,1.384285278320312500e+03
2.942001037597656250e+02,1.392219970703125000e+03
2.946637573242187500e+02,1.392219970703125000e+03
2.951274108886718750e+02,1.395195800781250000e+03
2.955910339355468750e+02,1.381310058593750000e+03
2.960546264648437500e+02,1.395195800781250000e+03
2.965182189941406250e+02,1.388252563476562500e+03
2.969817504882812500e+02,1.396187744140625000e+03
2.974453125000000000e+02,1.384285278320312500e+03
2.979088134765625000e+02,1.394203735351562500e+03
2.983722839355468750e+02,1.395195800781250000e+03
2.988357543945312500e+02,1.388252563476562500e+03
2.992991943359375000e+02,1.395195800781250000e+03
2.997626037597656250e+02,1.391228149414062500e+03
3.002260131835937500e+02,1.390236206054687500e+03
3.006893615722656250e+02,1.387260620117187500e+03
3.011527099609375000e+02,1.402140136718750000e+03
3.016160278320312500e+02,1.384285278320312500e+03
3.020793457031250000e+02,1.393211914062500000e+03
3.025426330566406250e+02,1.394203735351562500e+03
3.030058898925781250e+02,1.390236206054687500e+03
3.034691162109375000e+02,1.391228149414062500e+03
3.039323120117187500e+02,1.388252563476562500e+03
3.043955078125000000e+02,1.396187744140625000e+03
3.048586730957031250e+02,1.391228149414062500e+03
3.053218383789062500e+02,1.394203735351562500e+03
3.057849426269531250e+02,1.396187744140625000e+03
3.062480468750000000e+02,1.396187744140625000e+03
3.067111206054687500e+02,1.390236206054687500e+03
3.071741638183593750e+02,1.391228149414062500e+03
3.076372070312500000e+02,1.390236206054687500e+03
3.081001892089843750e+02,1.386268798828125000e+03
3.085631713867187500e+02,1.401148071289062500e+03
3.090261230468750000e+02,1.389244262695312500e+03
3.094890747070312500e+02,1.387260620117187500e+03
3.099519958496093750e+02,1.388252563476562500e+03
3.104148559570312500e+02,1.391228149414062500e+03
3.108777465820312500e+02,1.385276977539062500e+03
3.113405761718750000e+02,1.389244262695312500e+03
3.118034057617187500e+02,1.398171752929687500e+03
3.122662048339843750e+02,1.383293579101562500e+03
3.127289733886718750e+02,1.394203735351562500e+03
3.131917419433593750e+02,1.391228149414062500e+03
3.136544799804687500e+02,1.394203735351562500e+03
3.141171875000000000e+02,1.393211914062500000e+03
3.145798645019531250e+02,1.391228149414062500e+03
3.150425109863281250e+02,1.396187744140625000e+03
3.155051574707031250e+02,1.383293579101562500e+03
3.159677734375000000e+02,1.392219970703125000e+03
3.164303588867187500e+02,1.391228149414062500e+03
3.168929443359375000e+02,1.394203735351562500e+03
3.173554687500000000e+02,1.391228149414062500e+03
3.178179931640625000e+02,1.394203735351562500e+03
3.182805175781250000e+02,1.393211914062500000e+03
3.187429809570312500e+02,1.395195800781250000e+03
3.192054443359375000e+02,1.392219970703125000e+03
3.196678466796875000e+02,1.391228149414062500e+03
3.201302490234375000e+02,1.394203735351562500e+03
3.205926513671875000e+02,1.389244262695312500e+03
3.210549926757812500e+02,1.396187744140625000e+03
3.215173339843750000e+02,1.384285278320312500e+03
3.219796752929687500e+02,1.395195800781250000e+03
3.224419555664062500e+02,1.390236206054687500e+03
3.229042358398437500e+02,1.393211914062500000e+03
3.233664550781250000e+02,1.385276977539062500e+03
3.238286743164062500e+02,1.400155883789062500e+03
3.242908935546875000e+02,1.399163818359375000e+03
3.247530517578125000e+02,1.389244262695312500e+03
3.252152404785156250e+02,1.398171752929687500e+03
3.256773681640625000e+02,1.386268798828125000e+03
3.261394653320312500e+02,1.391228149414062500e+03
3.266015625000000000e+02,1.389244262695312500e+03
3.270635986328125000e+02,1.392219970703125000e+03
3.275256347656250000e+02,1.389244262695312500e+03
3.279876708984375000e+02,1.387260620117187500e+03
3.284496765136718750e+02,1.393211914062500000e+03
3.289116210937500000e+02,1.386268798828125000e+03
3.293735961914062500e+02,1.390236206054687500e+03
3.298355102539062500e+02,1.387260620117187500e+03
3.302974243164062500e+02,1.398171752929687500e+03
3.307592773437500000e+02,1.395195800781250000e+03
3.312211303710937500e+02,1.393211914062500000e+03
3.316829833984375000e+02,1.390236206054687500e+03
3.321447753906250000e+02,1.396187744140625000e+03
3.326065673828125000e+02,1.395195800781250000e+03
3.330682983398437500e+02,1.390236206054687500e+03
3.335300598144531250e+02,1.399163818359375000e+03
3.339917602539062500e+02,1.384285278320312500e+03
3.344534606933593750e+02,1.393211914062500000e+03
3.349151611328125000e+02,1.385276977539062500e+03
3.353767700195312500e+02,1.393211914062500000e+03
3.358384094238281250e+02,1.387260620117187500e+03
3.362999877929687500e+02,1.383293579101562500e+03
3.367615966796875000e+02,1.390236206054687500e+03
3.372231445312500000e+02,1.397179809570312500e+03
3.376846618652343750e+02,1.397179809570312500e+03
3.381461791992187500e+02,1.391228149414062500e+03
3.386076660156250000e+02,1.395195800781250000e+03
3.390690917968750000e+02,1.393211914062500000e+03
3.395305480957031250e+02,1.396187744140625000e+03
3.399919433593750000e+02,1.386268798828125000e+03
3.404533691406250000e+02,1.392219970703125000e+03
3.409147338867187500e+02,1.392219970703125000e+03
3.413760681152343750e+02,1.387260620117187500e+03
3.418374023437500000e+02,1.400155883789062500e+03
3.422987060546875000e+02,1.389244262695312500e+03
3.427599487304687500e+02,1.391228149414062500e+03
3.432212219238281250e+02,1.387260620117187500e+03
3.436824340820312500e+02,1.401148071289062500e+03
3.441436767578125000e+02,1.381310058593750000e+03
3.446048278808593750e+02,1.395195800781250000e+03
3.450659790039062500e+02,1.401148071289062500e+03
3.455271301269531250e+02,1.389244262695312500e+03
3.459882507324218750e+02,1.395195800781250000e+03
3.464493408203125000e+02,1.396187744140625000e+03
3.469104003906250000e+02,1.392219970703125000e+03
3.473714599609375000e+02,1.386268798828125000e+03
3.478324584960937500e+02,1.403132324218750000e+03
3.482934570312500000e+02,1.395195800781250000e+03
3.487544555664062500e+02,1.397179809570312500e+03
3.492153930664062500e+02,1.395195800781250000e+03
3.496763000488281250e+02,1.392219970703125000e+03
3.501372070312500000e+02,1.388252563476562500e+03
3.505980834960937500e+02,1.392219970703125000e+03
3.510589599609375000e+02,1.392219970703125000e+03
3.515197753906250000e+02,1.396187744140625000e+03
3.519805908203125000e+02,1.392219970703125000e+03
3.524413757324218750e+02,1.388252563476562500e+03
3.529021606445312500e+02,1.390236206054687500e+03
3.533628540039062500e+02,1.396187744140625000e+03
3.538236083984375000e+02,1.400155883789062500e+03
3.542843017578125000e+02,1.386268798828125000e+03
3.547449645996093750e+02,1.388252563476562500e+03
3.552056274414062500e+02,1.391228149414062500e+03
3.556662292480468750e+02,1.391228149414062500e+03
3.561268310546875000e+02,1.391228149414062500e+03
3.565874023437500000e+02,1.381310058593750000e+03
3.570479736328125000e+02,1.389244262695312500e+03
3.575084838867187500e+02,1.392219970703125000e+03
3.579689941406250000e+02,1.391228149414062500e+03
3.584295043945312500e+02,1.398171752929687500e+03
3.588899536132812500e+02,1.393211914062500000e+03
3.593503723144531250e+02,1.397179809570312500e+03
3.598107910156250000e+02,1.395195800781250000e+03
3.602711791992187500e+02,1.393211914062500000e+03
3.607315673828125000e+02,1.397179809570312500e+03
3.611918945312500000e+02,1.392219970703125000e+03
3.616522216796875000e+02,1.393211914062500000e+03
3.621125183105468750e+02,1.391228149414062500e+03
3.625727844238281250e+02,1.384285278320312500e+03
3.630330200195312500e+02,1.399163818359375000e+03
3.634932556152343750e+02,1.384285278320312500e+03
3.639534606933593750e+02,1.386268798828125000e+03
3.644136352539062500e+02,1.398171752929687500e+03
3.648737792968750000e+02,1.392219970703125000e+03
3.653339233398437500e+02,1.383293579101562500e+03
3.657940368652343750e+02,1.405116455078125000e+03
3.662541503906250000e+02,1.390236206054687500e+03
3.667142028808593750e+02,1.392219970703125000e+03
3.671742553710937500e+02,1.395195800781250000e+03
3.676342468261718750e+02,1.404124389648437500e+03
3.680942382812500000e+02,1.391228149414062500e+03
3.685541992187500000e+02,1.402140136718750000e+03
3.690141601562500000e+02,1.394203735351562500e+03
3.694740905761718750e+02,1.396187744140625000e+03
3.699339599609375000e+02,1.383293579101562500e+03
3.703938598632812500e+02,1.386268798828125000e+03
3.708536987304687500e+02,1.389244262695312500e+03
3.713135375976562500e+02,1.387260620117187500e+03
3.717733459472656250e+02,1.390236206054687500e+03
3.722331237792968750e+02,1.389244262695312500e+03
3.726928710937500000e+02,1.395195800781250000e+03
3.731526184082031250e+02,1.387260620117187500e+03
3.736123352050781250e+02,1.398171752929687500e+03
3.740720214843750000e+02,1.399163818359375000e+03
3.745316772460937500e+02,1.394203735351562500e+03
3.749913330078125000e+02,1.395195800781250000e+03
3.754509277343750000e+02,1.392219970703125000e+03
3.759105224609375000e+02,1.397179809570312500e+03
3.763701171875000000e+02,1.392219970703125000e+03
3.768296508789062500e+02,1.394203735351562500e+03
3.772891845703125000e+02,1.388252563476562500e+03
3.777486572265625000e+02,1.388252563476562500e+03
3.782081298828125000e+02,1.392219970703125000e+03
3.786676025390625000e+02,1.393211914062500000e+03
3.791270141601562500e+02,1.396187744140625000e+03
3.795864257812500000e+02,1.392219970703125000e+03
3.800458374023437500e+02,1.396187744140625000e+03
3.805051879882812500e+02,1.387260620117187500e+03
3.809645080566406250e+02,1.392219970703125000e+03
3.814238281250000000e+02,1.393211914062500000e+03
3.818831176757812500e+02,1.393211914062500000e+03
3.823423767089843750e+02,1.392219970703125000e+03
3.828016052246093750e+02,1.393211914062500000e+03
3.832608337402343750e+02,1.388252563476562500e+03
3.837200317382812500e+02,1.385276977539062500e+03
3.841791992187500000e+02,1.396187744140625000e+03
3.846383666992187500e+02,1.387260620117187500e+03
3.850974731445312500e+02,1.390236206054687500e+03
3.855565795898437500e+02,1.387260620117187500e+03
3.860156250000000000e+02,1.391228149414062500e+03
3.864747009277343750e+02,1.392219970703125000e+03
3.869337158203125000e+02,1.401148071289062500e+03
3.873927307128906250e+02,1.390236206054687500e+03
3.878517150878906250e+02,1.389244262695312500e+03
3.883106689453125000e+02,1.390236206054687500e+03
3.887695922851562500e+02,1.389244262695312500e+03
3.892285156250000000e+02,1.387260620117187500e+03
3.896874084472656250e+02,1.389244262695312500e+03
3.901462707519531250e+02,1.390236206054687500e+03
3.906051025390625000e+02,1.394203735351562500e+03
3.910639343261718750e+02,1.383293579101562500e+03
3.915227050781250000e+02,1.401148071289062500e+03
3.919815063476562500e+02,1.390236206054687500e+03
3.924402465820312500e+02,1.396187744140625000e+03
3.928989562988281250e+02,1.395195800781250000e+03
3.933576660156250000e+02,1.397179809570312500e+03
3.938163452148437500e+02,1.386268798828125000e+03
3.942749633789062500e+02,1.394203735351562500e+03
3.947335815429687500e+02,1.389244262695312500e+03
3.951921997070312500e+02,1.394203735351562500e+03
3.956507873535156250e+02,1.389244262695312500e+03
3.961093444824218750e+02,1.395195800781250000e+03
3.965678710937500000e+02,1.399163818359375000e+03
3.970263671875000000e+02,1.389244262695312500e+03
3.974848632812500000e+02,1.392219970703125000e+03
3.979433288574218750e+02,1.384285278320312500e+03
3.984017944335937500e+02,1.399163818359375000e+03
3.988601684570312500e+02,1.395195800781250000e+03
3.993185729980468750e+02,1.389244262695312500e+03
3.997769470214843750e+02,1.393211914062500000e+03
4.002352905273437500e+02,1.389244262695312500e+03
4.006936035156250000e+02,1.387260620117187500e+03
4.011519165039062500e+02,1.390236206054687500e+03
4.016101684570312500e+02,1.385276977539062500e+03
4.020684204101562500e+02,1.397179809570312500e+03
4.025266723632812500e+02,1.387260620117187500e+03
4.029848632812500000e+02,1.388252563476562500e+03
4.034430236816406250e+02,1.393211914062500000e+03
4.039011840820312500e+02,1.394203735351562500e+03
4.043593139648437500e+02,1.390236206054687500e+03
4.048174438476562500e+02,1.392219970703125000e+03
4.052755126953125000e+02,1.391228149414062500e+03
